projectUUID;personName;personLastName;role;externalContributor;personUUID
33b3fc7e-5aad-48c0-877c-ada1be556f22;Radu-Cristian ;Curticapean;CoI;FALSE;53c45a58-4c3c-424c-80a2-c39e733fd7c3
8146f4ce-2057-47de-80a7-f7707e6506e0;Radu-Cristian ;Curticapean;PI;FALSE;53c45a58-4c3c-424c-80a2-c39e733fd7c3
379f431a-ce47-4ea1-835d-8855a3e0f7b1;Radu-Cristian ;Curticapean;PI;FALSE;53c45a58-4c3c-424c-80a2-c39e733fd7c3
9dbabc2a-7042-4d3a-8f8b-33910a8adc04;Radu-Cristian ;Curticapean;PI;FALSE;53c45a58-4c3c-424c-80a2-c39e733fd7c3
b4fec4cc-f92f-422a-b236-e6dab6e72eaf;Radu-Cristian ;Curticapean;CoI;FALSE;53c45a58-4c3c-424c-80a2-c39e733fd7c3
b501546f-657e-4455-8006-d0a5cd897749;Maximilian ;Müller-Eberstein;Collaborator;FALSE;523ffd96-f3b2-49cc-8f24-dc9215b84bed
6bdbc155-83c0-4139-ab79-ec3933ba3a05;Maximilian ;Müller-Eberstein;CoI;FALSE;523ffd96-f3b2-49cc-8f24-dc9215b84bed
8c606f0d-64c7-4fde-9a63-e6c9efbcd13c;Maximilian ;Müller-Eberstein;PI;FALSE;523ffd96-f3b2-49cc-8f24-dc9215b84bed
38cecda7-bb24-4d49-8f67-cada7a740062;Helge ;Pfeiffer;CoI;FALSE;51cfa226-5179-4a05-aa13-4a53f8de6404
7492316d-f1c5-4c5a-88a7-480e15dec0a2;Helge ;Pfeiffer;CoI;FALSE;51cfa226-5179-4a05-aa13-4a53f8de6404
0af0ce4f-b2e6-4dd0-ad87-0a6d6b067572;Helge ;Pfeiffer;PI;FALSE;51cfa226-5179-4a05-aa13-4a53f8de6404
bd6a8c04-9308-487b-8323-4b72896ec674;Ivor van der;Hoog;Collaborator;FALSE;50d4bf89-8621-4bc3-bdce-6916656c12fa
c006a8cf-ebb2-4bd4-94ae-01b5ea5f2ee2;Michael ;Hockenhull;CoI;FALSE;5041f387-908f-4845-9f79-3a6dbd527f4b
ea1190eb-c06d-4c91-8b84-c881781af351;Michael ;Hockenhull;CoI;FALSE;5041f387-908f-4845-9f79-3a6dbd527f4b
e9c91f24-e3ab-41a7-bdce-ac3685bd3f46;Michael ;Hockenhull;CoI;FALSE;5041f387-908f-4845-9f79-3a6dbd527f4b
8ea1d816-cfb3-4b02-a1cd-5c34a3d0fd61;Vasiliki ;Baka;CoI;FALSE;4e33d926-364b-47b8-97d7-409c16b62db9
e6a60a90-94ef-48c7-9e42-9d768b477430;Vasiliki ;Baka;CoI;FALSE;4e33d926-364b-47b8-97d7-409c16b62db9
13537467-eee8-4756-af4a-0c04d42666fb;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
9bf034c6-728d-4527-89dc-c8ba689c0cee;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
8296a97c-b8a8-497a-b23e-6d60f337d391;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
afff83df-27b7-4e93-86a3-38574ae3b9c4;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
4693ba77-d11e-4f95-9493-84f516080715;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
ef0ae6c0-62d2-4fe9-9cf2-81354c4569c7;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
0d2deaff-cf2d-441f-95eb-9b13d6d3d0c5;Rune Møller;Jensen;CoI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
d5da34ed-babb-463b-9c3d-f72e8e891b51;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
abcfded3-fae9-4da5-97e5-658a188a0190;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
11832926-e61e-47f3-8fd8-5813ec4a6360;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
a1c0356b-18a3-408b-b847-4819a3633756;Rune Møller;Jensen;CoI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
85b6aad6-1170-4acc-9a63-f74283faf636;Rune Møller;Jensen;PI;FALSE;4d7fda5a-3cf4-4d39-9daf-1ae192b0e0e7
a507601c-13b2-43e4-9c7f-177b3dd104f0;Manon Brigitte;Blanc;Collaborator;FALSE;4d425855-1065-40b5-9b65-e04126df5838
f425df35-7a88-41a1-9d8d-ced2bd55e700;Jessamy ;Perriam;CoI;FALSE;4ca57c3b-1d1f-4ecf-87b0-fe690510c887
