id,period,title,language
130,Spring 2025,Algorithms and Data Structures,English
131,Spring 2026,Algorithms and Data Structures,English
132,Spring 2019,Algorithms and Data Structures - SWU - DS - SDT,English
133,Spring 2020,Algorithms and Data Structures SWU,English
134,Spring 2020,Algorithms and Data Structures - BSc (Summer University),English
135,Spring 2021,Algorithms and Data Structures - BSc (Summer University),English
136,Spring 2022,Algorithms and Data Structures - BSc (Summer University),English
137,Spring 2023,Algorithms and Data Structures - BSc (Summer University),English
138,Spring 2020,Algorithms and Data Structures - MSc,English
139,Spring 2021,Algorithms and Data Structures - MSc,English
140,Spring 2022,Algorithms and Data Structures - MSc,English
141,Spring 2023,Algorithms and Data Structures - MSc,English
142,Spring 2025,Algorithms and Data Structures - MSc,English
143,Spring 2026,Algorithms and Data Structures - MSc,English
144,Spring 2020,Algorithms and Data Structures - MSc (Summer University),English
145,Spring 2021,Algorithms and Data Structures - MSc (Summer University),English
146,Spring 2022,Algorithms and Data Structures - MSc (Summer University),English
147,Spring 2023,Algorithms and Data Structures - MSc (Summer University),English
148,Spring 2024,Algorithms and Data Structures - MSc  - B-DS and B-SWU,English
149,Autumn 2022,Algorithms for Game Development,English
150,Spring 2021,Algorithms for Games Development,English
151,Spring 2020,Algorithms in Games,English
152,Autumn 2025,Algoritmer og Datastrukturer - Extraordinary exam,English
153,Spring 2022,Algoritmer og datastrukturer SWU,Danish
154,Spring 2022,Algoritmer og datastrukturer SWU,English
155,Spring 2023,Algoritmer og datastrukturer SWU,English
156,Spring 2024,Algoritmer og datastrukturer SWU,English
157,Autumn 2019,Analysis - Design and Software Architecture,English
158,Autumn 2013,Analysis - Design and Software Architecture,English
159,Autumn 2014,Analysis - Design and Software Architecture,English
160,Autumn 2015,Analysis - Design and Software Architecture,English
161,Autumn 2016,Analysis - Design and Software Architecture,English
162,Autumn 2017,Analysis - Design and Software Architecture,English
163,Autumn 2018,Analysis - Design and Software Architecture,English
164,Autumn 2020,Analysis - Design and Software Architecture,English
165,Autumn 2021,Analysis - Design and Software Architecture,English
166,Autumn 2022,Analysis - Design and Software Architecture,English
167,Autumn 2023,Analysis - Design and Software Architecture,English
168,Autumn 2024,Analysis - Design and Software Architecture,English
169,Autumn 2025,Analysis - Design and Software Architecture,English
170,Spring 2017,Android Development - DIT,English
171,Autumn 2014,Anskaffelse og kravspecifikation,English
172,Autumn 2016,Anskaffelse og kravspecifikation,English
173,Spring 2015,Anskaffelse og kravspecifikation,English
174,Spring 2016,Anskaffelse og kravspecifikation,English
175,Autumn 2017,Anskaffelse og kravspecifikation - Master,English
176,Autumn 2019,Applied Algorithms,English
177,Autumn 2020,Applied Algorithms,English
178,Autumn 2016,Applied Algorithms,English
179,Autumn 2017,Applied Algorithms,English
180,Autumn 2018,Applied Algorithms,English
181,Autumn 2021,Applied Algorithms,English
182,Autumn 2022,Applied Algorithms,English
183,Autumn 2023,Applied Algorithms,English
184,Autumn 2024,Applied Algorithms,English
185,Autumn 2025,Applied Algorithms,English
186,Spring 2021,Applied Artificial Intelligence (Summer University),English
187,Spring 2022,Applied Artificial Intelligence (Summer University),English
188,Spring 2023,Applied Artificial Intelligence (Summer University),English
189,Spring 2024,Applied Artificial Intelligence (Summer University),English
190,Spring 2025,Applied Artificial Intelligence (Summer University),English
191,Autumn 2025,Applied Artificial Intelligence - Extraordinary exam,English
192,Spring 2021,Applied Information Security,English
193,Spring 2020,Applied Information Security (Summer University),English
194,Spring 2021,Applied Information Security (Summer University),English
195,Spring 2022,Applied Information Security (Summer University),English
196,Spring 2023,Applied Information Security (Summer University),English
197,Autumn 2017,Applied Statistics,English
198,Spring 2019,Applied Statistics,English
199,Spring 2020,Applied Statistics,English
200,Spring 2021,Applied Statistics,English
201,Spring 2022,Applied Statistics,English
202,Spring 2023,Applied Statistics,English
203,Autumn 2021,Applied Statistics - Extraordinary exam,English
204,Autumn 2019,Applied information Security,English
205,Autumn 2026,Artificial Intelligence for Designers,
206,Autumn 2024,Artificial Intelligence for Games and Simulations,English
207,Autumn 2024,Artificial Intelligence for Games and Simulations,
208,Autumn 2025,Artificial Intelligence for Games and Simulations,
209,Spring 2014,Artificial Life & Evolutionary Robotics: Theory - Methods and Art,
210,Spring 2015,Artificial Life & Evolutionary Robotics: Theory - Methods and Art,
211,Spring 2016,Artificial Life & Evolutionary Robotics: Theory - Methods and Art,
212,Spring 2017,Artificial Life & Evolutionary Robotics: Theory - Methods and Art,
213,Spring 2019,Artificial Life & Evolutionary Robotics: Theory - Methods and Art,
214,Autumn 2016,Automated Software Analysis,
215,Autumn 2017,Automated Software Analysis,
216,Autumn 2018,Automated Software Analysis,
217,Autumn 2019,Automated Software Analysis,
218,Autumn 2019,Avancerede designprocesser,Danish
219,Autumn 2018,Avancerede designprocesser,
220,Autumn 2019,Avancerede designprocesser,
221,Autumn 2020,Avancerede designprocesser,
222,Autumn 2021,Avancerede designprocesser,
223,Autumn 2022,Avancerede designprocesser,
224,Autumn 2023,Avancerede designprocesser,
225,Autumn 2024,Avancerede designprocesser,
226,Autumn 2025,Avancerede designprocesser,
227,Autumn 2015,Avanceret projektledelse,
228,Spring 2019,B-DS Choice of track,
229,Spring 2020,B-DS Choice of track,
230,Spring 2021,B-DS Choice of track,
231,Spring 2022,B-DS Choice of track,
232,Spring 2023,B-DS Choice of track,
233,Autumn 2020,B19 IT-Strategy,
234,Autumn 2013,B19 IT-Strategy,
235,Autumn 2013,B30 Enterprise Strategy - Business and Technology,
236,Autumn 2013,B31 The Internet as A Battlefield - Competing With Digital Goods and Services,
237,Autumn 2014,B31 The Internet as A Battlefield - Competing With Digital Goods and Services,
238,Autumn 2019,Big Data Management (Technical),English
239,Autumn 2015,Big Data Management (Technical),English
240,Autumn 2016,Big Data Management (Technical),English
241,Autumn 2017,Big Data Management (Technical),English
242,Autumn 2018,Big Data Management (Technical),English
243,Autumn 2020,Big Data Management (Technical),English
244,Autumn 2021,Big Data Management (Technical),English
245,Autumn 2022,Big Data Management (Technical),English
246,Autumn 2023,Big Data Management (Technical),English
247,Autumn 2024,Big Data Management (Technical),English
248,Autumn 2025,Big Data Management (Technical),English
249,Autumn 2019,Blockchain Economics,English
250,Autumn 2020,Blockchain Economics,English
251,Autumn 2021,Blockchain Economics,English
252,Autumn 2022,Blockchain Economics,English
253,Autumn 2023,Blockchain Economics,English
254,Autumn 2024,Blockchain Economics,English
255,Autumn 2025,Blockchain Economics,English
256,Spring 2015,BootIT August 2023 - BSWU,English
257,Spring 2015,BootIT August 2023 - KSD,English
258,Spring 2015,BootIT August 2024 - BSWU,English
259,Spring 2015,BootIT August 2024 - KSD,English
260,Spring 2015,BootIT August 2025 - BSWU,English
261,Spring 2015,BootIT August 2025 - KSD,English
262,Autumn 2019,Brugere i kontekst,Danish
263,Spring 2015,Brugere i kontekst (Autumn 2018) - MERGED with KABRKON1KU-2,English
264,Autumn 2019,Brugere i kontekst,English
265,Autumn 2023,Brugere i kontekst,English
266,Autumn 2018,Brugere i kontekst - MSc 1+2,English
267,Spring 2019,Brugerpraksis i netværk,English
268,Spring 2020,Brugerpraksis i netværk,English
269,Autumn 2019,Business Foundations,
270,Spring 2026,Business Process Improvement & Automation,English
271,Spring 2023,Business Process Modelling and Automation,English
272,Spring 2024,Business Process Modelling and Automation,English
273,Spring 2025,Business Process Modelling and Automation,English
274,Spring 2026,Business Process Modelling and Automation,English
275,Autumn 2013,Business Processes and Organisation,English
276,Autumn 2014,Business Processes and Organisation,English
277,Autumn 2017,Business Processes and Organisation with Project,English
278,Autumn 2018,Business Processes and Organisation with Project,English
279,Autumn 2013,Business and Management,English
280,Spring 2014,Business and Management,English
281,Autumn 2013,Business and Management Foundations,English
282,Autumn 2014,Business and Management Foundations,English
283,Autumn 2015,Business and Management Foundations,English
284,Autumn 2016,Business and Management Foundations,English
285,Autumn 2017,Business and Management Foundations,English
286,Autumn 2018,Business and Management Foundations,English
287,Autumn 2019,Business and Management Foundations,English
288,Spring 2014,Business and Management Foundations,English
289,Spring 2015,Business and Management Foundations,English
290,Spring 2016,Business and Management Foundations,English
291,Spring 2021,Business and Startup Foundations (Summer University),
292,Spring 2021,Business and Startup Foundations (Summer University),English
293,Spring 2022,Business and Startup Foundations (Summer University),English
294,Spring 2023,Business and Startup Foundations (Summer University),English
295,Spring 2024,Business and Startup Foundations (Summer University),English
296,Spring 2020,Bæredygtige fremtider,Danish
297,Spring 2016,Bæredygtige fremtider,English
298,Spring 2017,Bæredygtige fremtider,English
299,Spring 2018,Bæredygtige fremtider,English
300,Spring 2019,Bæredygtige fremtider,English
301,Spring 2020,Bæredygtige fremtider,English
302,Spring 2021,Bæredygtigt iværksætteri,Danish
303,Spring 2021,Bæredygtigt iværksætteri,English
304,Spring 2022,Bæredygtigt iværksætteri,English
305,Spring 2023,CHBV - test af kursusevaluering i F23,English
306,Autumn 2013,Change Management,English
307,Spring 2014,Change Management,English
308,Autumn 2023,Christians test environment,English
309,Autumn 2026,Computational Cognitive Modelling,English
310,Autumn 2019,Computational Literacies,English
311,Autumn 2026,Connected Interactivity,English
312,Spring 2025,Creative Data Visualisation,English
313,Spring 2023,Creative Data Visualisation (Summer University),English
314,Spring 2025,Creative Programming,English
315,Spring 2026,Creative Programming,English
316,Autumn 2015,Critical Big Data Management,English
317,Autumn 2016,Critical Big Data Management,English
318,Autumn 2015,Critical Big Data Management with Specialisation Project,English
319,Autumn 2019,Critical Big Data Management: Second Part of Specialisation,English
320,Autumn 2017,Critical Big Data Management: Second Part of Specialisation,English
321,Autumn 2018,Critical Big Data Management: Second Part of Specialisation,English
322,Autumn 2020,Critical Big Data Management: Second Part of Specialisation,English
323,Autumn 2021,Critical Big Data Management: Second Part of Specialisation,English
324,Autumn 2022,Critical Big Data Management: Second Part of Specialisation,English
325,Autumn 2023,Critical Big Data Management: Second Part of Specialisation,English
326,Spring 2026,Critical Computing,English
327,Spring 2026,Critical Data & Ethics,English
328,Spring 2022,Critical Data Analysis,English
329,Autumn 2015,Critical Systems Project,English
330,Autumn 2016,Critical Systems Project,English
331,Autumn 2015,Critical Systems Seminar,English
332,Autumn 2016,Critical Systems Seminar,English
333,Autumn 2017,Critical Systems and Security Project,English
334,Autumn 2017,Critical Systems and Security Seminar,English
335,Autumn 2019,Cross Disciplinary Team Work,English
336,Autumn 2020,Cross Disciplinary Team Work,English
337,Autumn 2021,Cross Disciplinary Team Work,English
338,Autumn 2018,Cross-Disciplinary Team Work,English
339,Autumn 2019,Cross-Disciplinary Team Work,English
340,Spring 2020,Cryptographic Computation and Blockchain - BSc,English
341,Spring 2022,Cryptographic Computation and Blockchain - BSc,English
342,Autumn 2024,Cryptographic Computation and Blockchain - BSc,English
343,Spring 2021,Cryptographic Computation and Blockchain - BSc,English
344,Spring 2023,Cryptographic Computation and Blockchain - BSc,English
345,Spring 2020,Cryptographic Computation and Blockchain - MSc,English
346,Autumn 2024,Cryptographic Computation and Blockchain - MSc,English
347,Spring 2021,Cryptographic Computation and Blockchain - MSc,English
348,Spring 2022,Cryptographic Computation and Blockchain - MSc,English
349,Spring 2023,Cryptographic Computation and Blockchain - MSc,English
350,Spring 2023,Cryptography,English
351,Spring 2024,Cryptography,English
352,Spring 2025,Cryptography,English
353,Spring 2026,Cryptography,English
354,Autumn 2025,Cryptography - Extraordinary exam,English
355,Autumn 2026,Cybersecurity and Risk Management,English
356,Autumn 2019,DADIU Curriculum,English
357,Autumn 2017,DADIU Curriculum,English
358,Autumn 2018,DADIU Curriculum,English
359,Autumn 2020,DADIU Curriculum,English
360,Autumn 2021,DADIU Curriculum,English
361,Autumn 2022,DADIU Curriculum,English
362,Autumn 2023,DADIU Curriculum,English
363,Autumn 2024,DADIU Curriculum,English
364,Autumn 2019,DADIU Project,English
365,Autumn 2020,DADIU Project,English
366,Autumn 2016,DADIU Project,English
367,Autumn 2017,DADIU Project,English
368,Autumn 2018,DADIU Project,English
369,Autumn 2021,DADIU Project,English
370,Autumn 2022,DADIU Project,English
371,Autumn 2023,DADIU Project,English
372,Autumn 2024,DADIU Project,English
373,Autumn 2020,DD Thesis Supervisors Database,English
374,Autumn 2020,DDK Thesis Supervisors,English
375,Spring 2018,DELETED Bæredygtige fremtider,English
376,Autumn 2020,DEMO - Philosophy of Science,English
377,Autumn 2020,DIM Thesis Prep,English
378,Autumn 2020,DMD bachelorprojekt E19/F20,English
379,Autumn 2020,DMD bachelorprojekt seminar E17,English
380,Autumn 2020,DS Bachelor Project (Autumn 2019-spring 2020),English
381,Autumn 2020,DS Bachelor Project (Autumn 2020-spring 2021,English
382,Autumn 2017,DS Livecoding,English
383,Autumn 2017,DS Studylab 1. semester,English
384,Spring 2019,Data Design,English
385,Spring 2020,Data Design,English
386,Spring 2021,Data Design,English
387,Spring 2022,Data Design,English
388,Spring 2020,Data Intelligence,English
389,Autumn 2019,Data Management,English
390,Autumn 2018,Data Management,English
391,Spring 2020,Data Management,English
392,Autumn 2019,Data Mining,English
393,Autumn 2020,Data Mining,English
394,Autumn 2021,Data Mining,English
395,Autumn 2022,Data Mining,English
396,Autumn 2023,Data Mining,English
397,Autumn 2024,Data Mining,English
398,Autumn 2025,Data Mining,English
399,Spring 2023,Data Mining (KSDAMIN1KU) - Extraordinary exam,English
400,Spring 2014,Data Mining,English
401,Spring 2015,Data Mining,English
402,Spring 2016,Data Mining,English
403,Spring 2017,Data Mining,English
404,Spring 2018,Data Mining,English
405,Spring 2020,Data Mining (Spring 2019) - MERGED with KGDASCG1KU,English
406,Spring 2021,Data Mining,English
407,Spring 2022,Data Mining,English
408,Autumn 2026,Data Mining and Machine Learning,English
409,Spring 2020,Data Protection at ITU (GDPR),English
410,Spring 2020,Data Protection at ITU (GDPR) - Showcase,English
411,Spring 2020,Data Protection at ITU (GDPR) / Before Summer 2022,English
412,Spring 2020,Data Science in Games,English
413,Spring 2019,Data Science in Games and Data Mining,English
414,Spring 2022,Data Science in Production,English
415,Spring 2025,Data Science in Production,English
416,Spring 2023,Data Science in Production,English
417,Spring 2024,Data Science in Production,English
418,Spring 2026,Data Science in Production: Information Retrieval and RecSys,English
419,Autumn 2025,Data Science in Production: MLOps and Software Engineering,English
420,Autumn 2019,Data Science in Research - Business and Society,English
421,Autumn 2017,Data Science in Research - Business and Society,English
422,Autumn 2018,Data Science in Research - Business and Society,English
423,Autumn 2020,Data Science in Research - Business and Society,English
424,Autumn 2021,Data Science in Research - Business and Society,English
425,Autumn 2022,Data Science in Research - Business and Society,English
426,Autumn 2023,Data Science in Research - Business and Society,English
427,Autumn 2024,Data Science in Research - Business and Society,English
428,Spring 2025,Data Science in Research - Business and Society - Extraordinary exam ( Spring 2023),English
429,Spring 2023,Data Visualisation Design,English
430,Spring 2024,Data Visualisation Design,English
431,Spring 2019,Data Visualisation and Data-driven Decision Making,English
432,Spring 2020,Data Visualisation and Data-driven Decision Making,English
433,Spring 2021,Data Visualisation and Data-driven Decision Making,English
434,Spring 2022,Data Visualisation and Data-driven Decision Making,English
435,Spring 2023,Data Visualisation and Data-driven Decision Making,English
436,Spring 2024,Data Visualisation and Data-driven Decision Making,English
437,Spring 2025,Data Visualisation and Data-driven Decision Making,English
438,Spring 2026,Data Visualisation and Data-driven Decision Making,English
439,Autumn 2022,Data in Design,English
440,Autumn 2021,Data in the Wild: Wrangling and Visualising Data,English
441,Autumn 2022,Data in the Wild: Wrangling and Visualising Data,English
442,Autumn 2023,Data in the Wild: Wrangling and Visualising Data,English
443,Autumn 2024,Data in the Wild: Wrangling and Visualising Data,English
444,Autumn 2025,Data in the Wild: Wrangling and Visualising Data,English
445,Autumn 2022,Data - Automation and Social Justice,English
446,Autumn 2023,Data - Automation and Social Justice,English
447,Autumn 2024,Data - Automation and Social Justice,English
448,Autumn 2025,Data - Automation and Social Justice,English
449,Autumn 2017,Data-Driven Design & Development,English
450,Spring 2019,Data-Driven Design & Development,English
451,Spring 2020,Data-Driven Design & Development,English
452,Spring 2021,Data-Driven Design & Development,English
453,Spring 2022,Data-Driven Design & Development,English
454,Spring 2023,Data-Driven Design & Development,English
455,Spring 2024,Data-Driven Design & Development,English
456,Spring 2025,Data-Driven Design & Development,English
457,Autumn 2025,Data-Driven Security,English
458,Spring 2019,Data: Law and Ethics,English
459,Spring 2020,Data: Law and Ethics,English
460,Spring 2021,Data: Law and Ethics,English
461,Spring 2022,Data: Law and Ethics,English
462,Spring 2025,Database and Information Systems Foundations,English
463,Spring 2025,Datafication & Representation,English
464,Autumn 2022,Deep Learning for Games and Simulations,English
465,Autumn 2021,Design af brugerengagement,Danish
466,Spring 2021,Design af bæredygtige fremtider,Danish
467,Spring 2022,Design af bæredygtige fremtider,Danish
468,Spring 2023,Design af bæredygtige fremtider,Danish
469,Spring 2024,Design af bæredygtige fremtider,Danish
470,Spring 2025,Design af bæredygtige fremtider,Danish
471,Spring 2026,Design af bæredygtige fremtider,Danish
472,Autumn 2015,Design for Digital Communication Platforms,Danish
473,Autumn 2016,Design for Digital Communication Platforms,Danish
474,Autumn 2017,Design for Digital Communication Platforms,Danish
475,Spring 2014,Design for Digital Communication Platforms,Danish
476,Autumn 2013,Design for Digital Communication Platforms I,Danish
477,Autumn 2013,Design for Digital Communication Platforms II,Danish
478,Autumn 2026,Design og deltagelse,Danish
479,Autumn 2019,Design og udvikling af netværkskulturer,Danish
480,Autumn 2020,Design og udvikling af netværkskulturer,Danish
481,Autumn 2015,Design til Målgrupper - DIT,Danish
482,Spring 2015,Design til digitale kommunikationsplatforme,Danish
483,Autumn 2014,Design til digitale kommunikationsplatforme I,Danish
484,Autumn 2014,Design til digitale kommunikationsplatforme II,Danish
485,Autumn 2014,Design til målgrupper - kvalitative og kvantitative metoder,Danish
486,Autumn 2015,Design til målgrupper - kvalitative og kvantitative metoder,Danish
487,Spring 2015,Design til målgrupper - kvalitative og kvantitative metoder,Danish
488,Autumn 2015,Design til målgrupper - kvalitative og kvantitative metoder - DIT,Danish
489,Autumn 2013,Design - Regulation - Business and Social Context,Danish
490,Autumn 2014,Design - Regulation - Business and Social Context,Danish
491,Spring 2019,Designdrevet innovation,Danish
492,Spring 2020,Designdrevet innovation,Danish
493,Autumn 2021,Designing Aesthetic User Experiences,English
494,Autumn 2022,Designing Aesthetic User Experiences,English
495,Autumn 2023,Designing Aesthetic User Experiences,English
496,Autumn 2024,Designing Aesthetic User Experiences,English
497,Autumn 2025,Designing Aesthetic User Experiences,English
498,Spring 2021,Designing Digital Play,English
499,Autumn 2014,Designing Digital Play,English
500,Autumn 2015,Designing Digital Play,English
501,Autumn 2016,Designing Digital Play,English
502,Autumn 2017,Designing Digital Play,English
503,Autumn 2018,Designing Digital Play,English
504,Spring 2014,Designing Digital Play,English
505,Spring 2022,Designing Digital Play,English
506,Spring 2023,Designing Digital Play,English
507,Spring 2024,Designing Digital Play,English
508,Spring 2025,Designing Digital Play,English
509,Spring 2019,Designing Interactions,English
510,Spring 2020,Designing Interactions,English
511,Spring 2021,Designing Interactions,English
512,Spring 2022,Designing Interactions,English
513,Spring 2023,Designing Interactions,English
514,Spring 2024,Designing Interactions,English
515,Spring 2025,Designing Interactions,English
516,Spring 2015,Designing Interactive Artifacts (1. del af specialisering),English
517,Spring 2014,Designing Interactive Artifacts,English
518,Spring 2016,Designing Interactive Artifacts,English
519,Spring 2017,Designing Interactive Artifacts,English
520,Spring 2020,Designing Sustainable Futures,English
521,Spring 2020,DevOps - Software Evolution and Software Maintenance - BSc,
522,Spring 2020,DevOps - Software Evolution and Software Maintenance - BSc,English
523,Spring 2021,DevOps - Software Evolution and Software Maintenance - BSc,English
524,Spring 2022,DevOps - Software Evolution and Software Maintenance - BSc,English
525,Spring 2023,DevOps - Software Evolution and Software Maintenance - BSc,English
526,Spring 2024,DevOps - Software Evolution and Software Maintenance - BSc,English
527,Spring 2025,DevOps - Software Evolution and Software Maintenance - BSc,English
528,Spring 2026,DevOps - Software Evolution and Software Maintenance - BSc,English
529,Spring 2020,DevOps - Software Evolution and Software Maintenance - MSc,
530,Spring 2020,DevOps - Software Evolution and Software Maintenance - MSc,English
531,Spring 2021,DevOps - Software Evolution and Software Maintenance - MSc,English
532,Spring 2022,DevOps - Software Evolution and Software Maintenance - MSc,English
533,Spring 2018,DevOps - Software Evolution and Software Maintenance - MSc (Spring 2023) - not in use,English
534,Spring 2024,DevOps - Software Evolution and Software Maintenance - MSc,English
535,Spring 2025,DevOps - Software Evolution and Software Maintenance - MSc,English
536,Spring 2026,DevOps - Software Evolution and Software Maintenance - MSc,English
537,Autumn 2014,Digital Accountability,English
538,Spring 2014,Digital Accountability,English
539,Autumn 2014,Digital Accountability with Project,English
540,Autumn 2013,Digital Aesthetics,English
541,Spring 2017,Digital Business Models,English
542,Spring 2018,Digital Business Models,English
543,Autumn 2014,Digital Change Management,English
544,Autumn 2015,Digital Change Management,English
545,Autumn 2016,Digital Change Management,English
546,Autumn 2017,Digital Change Management,English
547,Spring 2020,Digital Culture and Media,English
548,Spring 2014,Digital Culture and Media,English
549,Spring 2021,Digital Culture and Media,English
550,Spring 2014,Digital Cultures,English
551,Autumn 2020,Digital Data Analysis,
552,Autumn 2020,Digital Data Analysis,English
553,Autumn 2021,Digital Data Analysis,English
554,Autumn 2022,Digital Data Analysis,English
555,Autumn 2023,Digital Data Analysis,English
556,Autumn 2024,Digital Data Analysis,English
557,Autumn 2015,Digital Democratic Citizenship,English
558,Spring 2015,Digital Democratic Citizenship,English
559,Spring 2016,Digital Democratic Citizenship,English
