paperUUID,personUUID,personName,personLastname,externalContributor,role
ec299816-b5ad-4b64-9235-cbfed17e7f9e,,Eva Honnens,De Lichtenberg Broge,true,Author
ec299816-b5ad-4b64-9235-cbfed17e7f9e,efa39e70-a80a-4780-b151-ba31b01726bb,Per B.,Brockhoff,false,Author
ec299816-b5ad-4b64-9235-cbfed17e7f9e,,Rune Haubo Bojesen,Christensen,true,Author
d84cf3c5-be69-425c-b9e3-d67bef416753,,Margit D.,Aaslyng,true,Author
d84cf3c5-be69-425c-b9e3-d67bef416753,,Eva Honnens,De Lichtenberg Broge,true,Author
d84cf3c5-be69-425c-b9e3-d67bef416753,efa39e70-a80a-4780-b151-ba31b01726bb,Per B.,Brockhoff,false,Author
d84cf3c5-be69-425c-b9e3-d67bef416753,,Rune Haubo Bojesen,Christensen,true,Author
e47bea4b-99c3-4c23-9933-a2b2a5df4411,,John Erik,Aasted Sørensen,true,Inventor
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,John Erik,Aasted Sørensen,true,Author
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,Kåre,Jelling Kristoffersen,true,Author
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,Anders ,Cervera ,true,Author
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,Martin ,Schiøtz ,true,Author
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,Thomas ,Lynge ,true,Author
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,Zoltan ,Safar ,true,Author
206e4f57-ad7a-48e1-b8f2-547fec83acfc,,Lars,Birkedal,false,Author
4aea84e9-050f-4dfb-a0e8-25f12437ee00,,Iago,Abal,false,Author
4aea84e9-050f-4dfb-a0e8-25f12437ee00,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Claus,Brabrand,false,Author
4aea84e9-050f-4dfb-a0e8-25f12437ee00,a39b94ff-e1b6-4b96-8404-486167a9123d,Andrzej,Wasowski,false,Author
94da0acc-af5a-44ab-abae-f23e1b33987d,,Iago,Abal,false,Author
94da0acc-af5a-44ab-abae-f23e1b33987d,,Jean,Melo,false,Author
94da0acc-af5a-44ab-abae-f23e1b33987d,,Stefan,Stanciulescu,false,Author
94da0acc-af5a-44ab-abae-f23e1b33987d,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Claus,Brabrand,false,Author
94da0acc-af5a-44ab-abae-f23e1b33987d,,Márcio,Ribeiro,true,Author
94da0acc-af5a-44ab-abae-f23e1b33987d,a39b94ff-e1b6-4b96-8404-486167a9123d,Andrzej,Wasowski,false,Author
3d3d590d-89b7-4776-847b-8da1ca104c45,,Iago,Abal,false,Author
3d3d590d-89b7-4776-847b-8da1ca104c45,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Claus,Brabrand,false,Author
3d3d590d-89b7-4776-847b-8da1ca104c45,a39b94ff-e1b6-4b96-8404-486167a9123d,Andrzej,Wasowski,false,Author
0e49901a-4f89-4a2e-a2bd-be21da8efe97,,Iago,Abal Rivas,false,Author
0e49901a-4f89-4a2e-a2bd-be21da8efe97,47a94200-3abe-4354-b5e3-c8ef6f1ba1f2,Claus,Brabrand,false,Author
0e49901a-4f89-4a2e-a2bd-be21da8efe97,a39b94ff-e1b6-4b96-8404-486167a9123d,Andrzej,Wasowski,false,Author
20021604-4452-4aca-92b7-d50e8c6e565c,,Amine,Abbad Andaloussi,true,Author
20021604-4452-4aca-92b7-d50e8c6e565c,,Jon,Buch-Lorentsen,true,Author
20021604-4452-4aca-92b7-d50e8c6e565c,,Hugo Andres,Lopez,false,Author
20021604-4452-4aca-92b7-d50e8c6e565c,,Tijs,Slaats,false,Author
20021604-4452-4aca-92b7-d50e8c6e565c,,Barbara,Weber,true,Author
6debf7dc-176d-444f-ade4-fa1fca0dadb8,,Gabriella,A B Barros,false,Author
6debf7dc-176d-444f-ade4-fa1fca0dadb8,,Antonios,Liapis,false,Author
6debf7dc-176d-444f-ade4-fa1fca0dadb8,,Julian,Togelius,false,Author
6b1d8098-2721-4c5d-9410-4506f4b0cee7,,Jose,Abdelnour-Nocera,false,Author
6b1d8098-2721-4c5d-9410-4506f4b0cee7,,Chris,Csikszentmihályi,true,Author
6b1d8098-2721-4c5d-9410-4506f4b0cee7,,Torkil,Clemmensen,true,Author
6b1d8098-2721-4c5d-9410-4506f4b0cee7,,Christian,Sturm,true,Author
c12105e7-b22f-4ca1-87b8-66cfec9378a7,,José,Abdelnour-Nocera,false,Author
c12105e7-b22f-4ca1-87b8-66cfec9378a7,,Samia,Oussena,true,Author
c12105e7-b22f-4ca1-87b8-66cfec9378a7,,Catherine,Burns,true,Author
6ca19251-f412-4609-9119-9a585ce507dc,,Jose,Abdelnour-Nocera,false,Author
6ca19251-f412-4609-9119-9a585ce507dc,,Melissa ,Densmore,true,Author
f426bd1d-a2f3-4ab3-905c-e1ce0c7a8ba9,,José,Abdelnour-Nocera,false,Author
f426bd1d-a2f3-4ab3-905c-e1ce0c7a8ba9,,Torkil,Clemmensen,true,Author
f426bd1d-a2f3-4ab3-905c-e1ce0c7a8ba9,,Tatiane G.,Guimaraes,true,Author
a251092c-fca4-40f5-93b7-0447df5a6dec,,José,Abdelnour-Nocera,true,Author
a251092c-fca4-40f5-93b7-0447df5a6dec,1052b289-f510-4c5a-9662-2db48c12ebc2,Lene,Nielsen,false,Author
a251092c-fca4-40f5-93b7-0447df5a6dec,92f6c3f3-0ad2-40fc-b278-69170f87567d,Lars Rune,Christensen,false,Author
a251092c-fca4-40f5-93b7-0447df5a6dec,,Torkil,Clemmensen,true,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,,Jose,Abdelnour-Nocera,true,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,,Daniel G,Cabrero,true,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,,Pedro,Campos,true,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,,Frederica,Gonçalves,true,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,,Torkil,Clemmensen,true,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,,Robin,Gissing,true,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,1052b289-f510-4c5a-9662-2db48c12ebc2,Lene,Nielsen,false,Author
d990a4a8-f5f1-49f9-8d6e-e5899c637b5d,,Parisa ,Saadati,true,Author
30408dd9-707b-4d4f-8d51-4b745e984e3d,,Jose,Abdelnour-Nocera,true,Author
30408dd9-707b-4d4f-8d51-4b745e984e3d,,J.J.G.,Gutiérrez,true,Author
30408dd9-707b-4d4f-8d51-4b745e984e3d,,María Estela Peralta  ,Álvarez,true,Author
30408dd9-707b-4d4f-8d51-4b745e984e3d,1052b289-f510-4c5a-9662-2db48c12ebc2,Lene,Nielsen,false,Author
65db9ec9-5687-40e2-80c4-a72f001e4b39,,José L.,Abdelnour-Nocera,true,Author
65db9ec9-5687-40e2-80c4-a72f001e4b39,,Juan José Gómez,Gutiérrez,true,Author
65db9ec9-5687-40e2-80c4-a72f001e4b39,,Maria Estela Peralta,Alvarez,true,Author
65db9ec9-5687-40e2-80c4-a72f001e4b39,1052b289-f510-4c5a-9662-2db48c12ebc2,Lene,Nielsen,false,Author
977e2189-d92d-4ed2-9bc8-a5979639647f,,José L.,Abdelnour-Nocera,true,Author
977e2189-d92d-4ed2-9bc8-a5979639647f,1052b289-f510-4c5a-9662-2db48c12ebc2,Lene,Nielsen,false,Author
977e2189-d92d-4ed2-9bc8-a5979639647f,,Christina,Li,true,Author
1f00fe47-05a3-40bf-a52d-348a237a627d,,Himan,Abdollahpouri,true,Author
1f00fe47-05a3-40bf-a52d-348a237a627d,e726f512-d3fd-4d89-962a-3aa9f532a52f,Toine,Bogers,false,Author
1f00fe47-05a3-40bf-a52d-348a237a627d,,Bamshad,Mobasher,true,Author
1f00fe47-05a3-40bf-a52d-348a237a627d,,Casper,Petersen,true,Author
1f00fe47-05a3-40bf-a52d-348a237a627d,,Maria Soledad Soledad,Pera,true,Author
008d17d1-03f3-49d2-9e9d-ecae7ca0bc4f,2f293c68-8b2f-4c61-a8c3-6d64d8916bff,Amna ,Abdullah,false,Author
008d17d1-03f3-49d2-9e9d-ecae7ca0bc4f,9504265d-0046-4e58-b529-256a656c012d,Christian ,Hardmeier,false,Author
741a92f3-7006-45c1-b5c5-83740bfbdeb7,,Tinus,Abell,true,Author
741a92f3-7006-45c1-b5c5-83740bfbdeb7,,Yuri ,Malitsky,true,Author
741a92f3-7006-45c1-b5c5-83740bfbdeb7,,Kevin ,Tierney,true,Author
11f79889-98e7-4973-a7f9-904197f9f2ba,, Khuloud,Abou Amsha,true,Author
11f79889-98e7-4973-a7f9-904197f9f2ba,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Erik,Grönvall,false,Author
11f79889-98e7-4973-a7f9-904197f9f2ba,,Joanna,Saad-Sulonen,true,Author
11f79889-98e7-4973-a7f9-904197f9f2ba,,Claus,Bossen,true,Author
ff07f4c3-ab0b-423e-8a3d-0c1731393b95,, Khuloud,Abou Amsha,true,Author
ff07f4c3-ab0b-423e-8a3d-0c1731393b95,,Claus,Bossen,true,Author
ff07f4c3-ab0b-423e-8a3d-0c1731393b95,1e0534b4-fe3e-4c5e-ad6d-5f1c7df6a14e,Erik,Grönvall,false,Author
ff07f4c3-ab0b-423e-8a3d-0c1731393b95,,Myriam,Lewkowicz,true,Author
b5e04f1f-3ada-427f-8888-3ebe072d405d,, Khuloud,Abou Amsha,true,Author
