Course Name,ECTS,Semester,Language,Exam,Teacher,Programme,Single Subject,Guest Students
AI i organisationer (Spring 2025),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
AI i organisationer (Spring 2026),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
"AI security: Principles, Practices and Policies, BSc",7.5,Autumn 2024,English,"D: Submission of written work with following oral, External (7-point scale)",Alessandro Bruni,BSc in Data Science,Yes,Yes
"AI security: Principles, Practices and Policies, MSc",7.5,Autumn 2024,English,"D: Submission of written work with following oral, External (7-point scale)",Alessandro Bruni,MSc in Computer Science,Yes,Yes
AI-integration i praksis: ledelse og metode,7.5,Autumn 2025,Danish,"D: Submission of written work with following oral, Internal (7-point scale)",Louise Harder Fischer,Master in IT Management,Yes,No
AI-integration i praksis: ledelse og metode (Autumn 2025),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
Academic Work and Communication (Autumn 2013),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
Adv. Data Science Specialization Project for K-CS (KSADSSP1PE) (Autumn 2021),7.5,Spring 2014,English,(Spring 2016) 3D Game Art (Spring 2014) Semester Spring 2014,Pedro Ferreira,"KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2015) Semester Spring 2015 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2016) Semester Spring 2016 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art (Spring 2017) Semester Spring 2017 Programme KGAMES:M.Sc. in IT, Games Access course 3D Game Art - Extraordinary Exam (Spring 2018) AI Processes The course introduces students to the foundations, methods, and practices of Artificial Intelligence within its organizational, social and political contexts. The course combines hands-on exploration of contemporary tools with critical perspectives on their use, equipping students to experiment with the development and use of AI systems and reflect on their broader implications and consequences. Students will work in groups on a project drawing from AI-based approaches (e.g., LLM finetuning, classification, clustering, or developing an AI-based service) to engage, explore or address a particular organizational or societal concern. ECTS 7.5 Semester Spring 2026 Language English Exam D: Submission of written work with following oral, External (7-point scale) Teacher Pedro Ferreira Programme MSc in Digital Innovation & Management",Yes,Yes
Advanced Algorithms,15,Autumn 2019,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science Read more,No,No
Advanced Algorithms,15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms (Autumn 2019),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms (Autumn 2020),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms (Autumn 2021),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms (Autumn 2022),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms (Autumn 2023),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms (Autumn 2024),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms (Autumn 2025),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms Seminar (Spring 2014),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms Seminar (Spring 2015),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Algorithms Seminar (Spring 2016),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Applied Statistics,7.5,Autumn 2023,English,"D: Submission of written work with following oral, External (7-point scale)",Christian Hardmeier,MSc in Data Science Read more,No,No
Advanced Applied Statistics (Autumn 2023),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Applied Statistics (Autumn 2024),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Applied Statistics (Autumn 2025),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Applied Statistics and Multivariate Calculus,7.5,Spring 2021,English,"C: Submission of written work, External (7-point scale)",Vedran Sekara,MSc in Computer Science Read more,No,No
Advanced Applied Statistics and Multivariate Calculus (Autumn 2021),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Applied Statistics and Multivariate Calculus (Autumn 2022),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Applied Statistics and Multivariate Calculus (Spring 2021),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Data Systems,15,Autumn 2019,English,"D: Submission of written work with following oral, Internal (7-point scale)",Philippe Bonnet,MSc in Computer Science,Yes,Yes
Advanced Data Systems (Autumn 2019),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Data Systems (Autumn 2020),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Data Systems (Autumn 2021),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Data Systems (Autumn 2022),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Data Systems (Autumn 2023),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Data Systems (Autumn 2024),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Game Studio,15,Autumn 2026,English,"C: Submission of written work, External (7-point scale)",Miguel Angel Sicart,MSc in Games,Yes,Yes
Advanced Graphic Design (Spring 2014),15,Autumn 2021,English,"B: Oral Exam , Internal (7-point scale)",Radu-Cristian Curticapean,MSc in Computer Science,Yes,Yes
Advanced Machine Learning,"course on Machine Learning. Building on the math knowledge acquired from the course Linear Algebra and Probability, students will be introduced to Machine Learning during the first part of the course. In the second part, recent machine learning research will be addressed. ECTS 15",Autumn 2019,English,"D: Submission of written work with following oral, External (7-point scale)",Sami Brandt,MSc in Computer Science Read more,No,No
Advanced Machine Learning for Computer Vision,7.5,Autumn 2025,English,"D: Submission of written work with following oral, External (7-point scale)",Stella Grasshof,MSc in Computer Science,Yes,Yes
Advanced Machine Learning for Data Science,7.5,Spring 2022,English,"B: Oral Exam , External (7-point scale)",Stefan Heinrich,MSc in Data Science Read more,No,No
Advanced Network Science,7.5,Autumn 2022,English,"B: Oral Exam , External (7-point scale)",Michele Coscia,MSc in Data Science,Yes,Yes
Advanced Programming in Rust,7.5,Spring 2026,English,"B: Oral Exam , External (7-point scale)",Marco Carbone,MSc in Computer Science,Yes,Yes
"Advanced Programming, MSc CS",7.5,Autumn 2019,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,MSc in Computer Science,No,Yes
"Advanced Programming, MSc CS (Autumn 2019)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",No,Yes
"Advanced Programming, MSc CS (Autumn 2020)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",No,Yes
"Advanced Programming, MSc CS (Autumn 2021)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",No,Yes
"Advanced Programming, MSc CS (Autumn 2022)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",No,Yes
"Advanced Programming, MSc CS (Autumn 2023)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",No,Yes
"Advanced Programming, MSc CS (Autumn 2024)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",No,Yes
"Advanced Programming, MSc CS (Autumn 2025)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",No,Yes
"Advanced Programming, Master (Professional education)",7.5,Autumn 2019,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,Master in Software Engineering,Yes,No
"Advanced Programming, Master (Professional education) (Autumn 2018) - MERGED with KSADPRO2KU",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",Yes,Yes
"Advanced Programming, Master (Professional education) (Autumn 2019)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",Yes,Yes
"Advanced Programming, Master (Professional education) (Spring 2017)",7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",Yes,Yes
Advanced Robotics,15,Autumn 2019,English,"C: Submission of written work, External (7-point scale)",Kasper Støy,MSc in Computer Science,Yes,Yes
Advanced Robotics (Autumn 2019),7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",Yes,Yes
Advanced Robotics (Autumn 2020),7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",Yes,Yes
Advanced Robotics (Autumn 2021),7.5,Spring 2017,. ECTS 7.5 Semester Autumn 2019 Language English,"A: Written exam on premises, External (7-point scale)",Andrzej Wasowski,"KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc (Spring 2018) Semester Spring 2018 Programme KSDT:M.Sc. in IT, Software Development and Technology Access course Advanced Programming, MSc CS This course addresses advanced programming techniques, with a special attention on functional programming and its applications. The course is a perfect balance of theory and practice, with focus on the Scala programming Language . ECTS 7.5 Semester Autumn 2019 Language English Exam A: Written exam on premises, External (7-point scale) Teacher Andrzej Wasowski Programme MSc in Computer Science",Yes,Yes
